col1,name,SPECOBJID,PLATEID,MJD,FIBERID,BPTCLASS,RA_1,DEC_1,Z,Z_ERR,OH_P2P5,OH_P16,OH_P50,OH_P84,OH_P97P5,OH_ENTROPY,objID,ra_1a,dec_1a,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,uJAVA,gSDSS,rSDSS,iSDSS,zSDSS,J0378,J0395,J0410,J0430,J0515,J0660,J0861,Separation,u-g,g-r,r-i,i-z,uJAVA-J0378,gSDSS-J0378,rSDSS-J0378,iSDSS-J0378,zSDSS-J0378,J0378-J0395,J0395-J0410,J0410-J0430,J0430-J0515,J0515-J0660,J0660-J0861,uJAVA-J0395,gSDSS-J0395,rSDSS-J0395,iSDSS-J0395,zSDSS-J0395,uJAVA-J0410,gSDSS-J0410,rSDSS-J0410,iSDSS-J0410,zSDSS-J0410,uJAVA-J0430,gSDSS-J0430,rSDSS-J0430,iSDSS-J0430,zSDSS-J0430,uJAVA-J0515,gSDSS-J0515,rSDSS-J0515,iSDSS-J0515,zSDSS-J0515,uJAVA-J0660,gSDSS-J0660,rSDSS-J0660,iSDSS-J0660,zSDSS-J0660,uJAVA-J0861,gSDSS-J0861,rSDSS-J0861,iSDSS-J0861,zSDSS-J0861
15189,35223,1.65E+18,1463,53063,510,1,202.94125,46.67965,0.22266309,1.10E-05,9.060932,9.077278,9.110099,9.135148,9.162853,173.6305,1.24E+18,202.9412326,46.67963336,3699,301,5,103,GALAXY,19.40202,18.31787,17.541,17.11349,16.87796,19.489,18.299,17.534,17.182,17.069,19.408,19.055,19.09,18.973,17.926,17.414,17.067,0.122026248,1.08415,0.77687,0.42751,0.23553,0.081,-1.109,-1.874,-2.226,-2.339,0.353,-0.035,0.117,1.047,0.512,0.347,0.434,-0.756,-1.521,-1.873,-1.986,0.399,-0.791,-1.556,-1.908,-2.021,0.516,-0.674,-1.439,-1.791,-1.904,1.563,0.373,-0.352,-0.113,-0.857,2.075,0.885,0.12,-0.232,-0.345,2.422,1.232,0.467,0.115,0.002
70949,91183,9.37E+17,832,52312,536,1,139.00536,45.642742,0.18418911,1.28E-05,9.002476,9.049698,9.089724,9.124279,9.165812,135.08382,1.24E+18,139.0053674,45.64274835,2777,301,5,220,GALAXY,18.95734,17.8538,17.09793,16.69278,16.40589,18.862,17.755,17.107,16.717,16.512,18.94,18.682,18.427,18.613,17.495,16.955,16.484,0.174208517,1.10354,0.75587,0.40515,0.28689,-0.078,-1.185,-1.833,-2.223,-2.428,0.258,0.255,-0.186,1.118,0.54,0.471,0.18,-0.927,-1.575,-1.965,-2.17,0.435,-0.672,-1.32,-1.71,-1.915,0.249,-0.858,-1.506,-1.896,-2.101,1.367,0.26,-0.39,-0.205,-0.983,1.907,0.8,0.152,-0.238,-0.443,2.378,1.271,0.623,0.233,0.028
47256,67456,1.18E+18,1048,52736,130,1,223.5346,46.984486,0.08733964,1.09E-05,8.925494,8.974623,9.011829,9.068469,9.116195,124.75721,1.24E+18,223.5346072,46.98450079,3918,301,6,174,GALAXY,19.01429,17.60647,16.91065,16.47104,16.19069,19.154,17.612,16.988,16.596,16.396,18.817,19.125,18.04,17.84,17.34,16.858,16.467,0.161273462,1.40782,0.69582,0.43961,0.28035,0.337,-1.205,-1.829,-2.221,-2.421,-0.308,1.085,0.2,0.5,0.482,0.391,0.029,-1.513,-2.137,-2.529,-2.729,1.114,-0.428,-1.052,-1.444,-1.644,1.314,-0.228,-0.852,-1.244,-1.444,1.814,0.272,-0.392,-0.2,-0.944,2.296,0.754,0.13,-0.262,-0.462,2.687,1.145,0.521,0.129,-0.071
28094,48188,1.49E+18,1324,53088,475,1,211.69414,54.911774,0.13199352,1.08E-05,9.050254,9.10659,9.163807,9.255786,9.32501,119.083984,1.24E+18,211.6941262,54.91176737,3705,301,4,95,GALAXY,19.33799,18.0523,17.36124,16.94384,16.68331,19.479,17.985,17.343,16.944,16.855,19.164,19.103,18.906,18.475,17.743,17.232,16.772,0.048232599,1.28569,0.69106,0.4174,0.26053,0.315,-1.179,-1.821,-2.22,-2.309,0.061,0.197,0.431,0.732,0.511,0.46,0.376,-1.118,-1.76,-2.159,-2.248,0.573,-0.921,-1.563,-1.962,-2.051,1.004,-0.49,-1.132,-1.531,-1.62,1.736,0.242,-0.399,-0.089,-0.888,2.247,0.753,0.111,-0.288,-0.377,2.707,1.213,0.571,0.172,0.083
104993,125273,5.53E+17,491,51942,461,1,170.50476,67.4481,0.05489715,6.32E-06,9.00011,9.003352,9.0115185,9.019686,9.056596,244.95322,1.24E+18,170.5048257,67.44807961,1350,301,5,333,GALAXY,17.78853,16.51089,15.95634,15.62664,15.44801,18.157,16.819,16.321,15.994,15.898,18.213,17.612,17.415,16.942,16.653,16.287,15.906,0.081314809,1.27764,0.55455,0.3297,0.17863,-0.056,-1.394,-1.892,-2.219,-2.315,0.601,0.197,0.473,0.289,0.366,0.381,0.545,-0.793,-1.291,-1.618,-1.714,0.742,-0.596,-1.094,-1.421,-1.517,1.215,-0.123,-0.621,-0.948,-1.044,1.504,0.166,-0.327,-0.096,-0.755,1.87,0.532,0.034,-0.293,-0.389,2.251,0.913,0.415,0.088,-0.008
99464,119728,6.14E+17,545,52202,68,1,122.06534,40.130898,0.0573049,1.36E-05,8.946885,8.983851,9.01602,9.062219,9.109973,143.86638,1.24E+18,122.0653508,40.13090295,2137,301,6,156,GALAXY,18.71647,17.46358,16.84225,16.47028,16.22734,18.67,17.452,16.865,16.523,16.345,18.742,18.264,18.149,17.692,17.157,16.805,16.436,0.060974157,1.25289,0.62133,0.37197,0.24294,-0.072,-1.29,-1.877,-2.219,-2.397,0.478,0.115,0.457,0.535,0.352,0.369,0.406,-0.812,-1.399,-1.741,-1.919,0.521,-0.697,-1.284,-1.626,-1.804,0.978,-0.24,-0.827,-1.169,-1.347,1.513,0.295,-0.342,-0.178,-0.812,1.865,0.647,0.06,-0.282,-0.46,2.234,1.016,0.429,0.087,-0.091
44617,64814,1.21E+18,1074,52937,592,1,32.599056,0.51969546,0.2985714,9.91E-06,8.864613,8.911959,8.948736,8.976378,9.005019,150.32506,1.24E+18,32.59903497,0.519696358,4263,301,5,333,GALAXY,21.69984,20.88245,20.20061,19.91691,19.31533,27.842,19.645,18.637,18.249,18.082,20.467,20.698,19.81,21.009,19.465,18.63,18.055,4.53079402,0.81739,0.68184,0.2837,0.60158,7.375,-0.822,-1.83,-2.218,-2.385,-0.231,0.888,-1.199,1.544,0.835,0.575,7.144,-1.053,-2.061,-2.449,-2.616,8.032,-0.165,-1.173,-1.561,-1.728,6.833,-1.364,-2.372,-2.76,-2.927,8.377,0.18,-0.388,-0.167,-1.383,9.212,1.015,0.007,-0.381,-0.548,9.787,1.59,0.582,0.194,0.027
43013,63209,1.23E+18,1088,52929,326,1,4.387616,1.00926,0.044497486,7.49E-06,8.081443,8.175685,8.4245825,8.586525,8.629352,50.987732,1.24E+18,4.387629747,1.009264581,4145,301,6,139,GALAXY,19.66646,18.7979,18.45895,18.20531,18.09309,19.615,18.864,18.406,18.252,18.117,20.469,19.159,18.908,19.277,18.38,18.517,18.068,0.466016029,0.86856,0.33895,0.25364,0.11222,-0.854,-1.605,-2.063,-2.217,-2.352,1.31,0.251,-0.369,0.897,-0.137,0.449,0.456,-0.295,-0.753,-0.907,-1.042,0.707,-0.044,-0.502,-0.656,-0.791,0.338,-0.413,-0.871,-1.025,-1.16,1.235,0.484,-0.154,-0.135,-0.263,1.098,0.347,-0.111,-0.265,-0.4,1.547,0.796,0.338,0.184,0.049
28064,48158,1.49E+18,1324,53088,623,1,213.66325,55.068047,0.10610125,1.15E-05,8.990158,9.040193,9.065541,9.103545,9.135247,146.49976,1.24E+18,213.6632148,55.06801921,3712,301,6,195,GALAXY,18.36534,17.15336,16.51929,16.14253,15.87888,18.397,17.125,16.529,16.17,16.021,18.383,18.017,17.796,17.511,16.835,16.397,16.134,0.075750247,1.21198,0.63407,0.37676,0.26365,0.014,-1.258,-1.854,-2.213,-2.362,0.366,0.221,0.285,0.676,0.438,0.263,0.38,-0.892,-1.488,-1.847,-1.996,0.601,-0.671,-1.267,-1.626,-1.775,0.886,-0.386,-0.982,-1.341,-1.49,1.562,0.29,-0.359,-0.149,-0.814,2,0.728,0.132,-0.227,-0.376,2.263,0.991,0.395,0.036,-0.113
72479,92716,9.15E+17,813,52354,438,1,240.18842,47.16762,0.04544353,6.18E-06,9.053223,9.085435,9.101632,9.114393,9.119461,215.25977,1.24E+18,240.1883986,47.16761453,2326,301,3,292,GALAXY,18.28207,16.67797,15.97581,15.57415,15.26644,18.715,16.863,16.224,15.865,15.655,18.078,17.581,17.43,17.065,16.608,16.113,15.748,0.109790525,1.6041,0.70216,0.40166,0.30771,0.637,-1.215,-1.854,-2.213,-2.423,0.497,0.151,0.365,0.457,0.495,0.365,1.134,-0.718,-1.357,-1.716,-1.926,1.285,-0.567,-1.206,-1.565,-1.775,1.65,-0.202,-0.841,-1.2,-1.41,2.107,0.255,-0.359,-0.21,-0.953,2.602,0.75,0.111,-0.248,-0.458,2.967,1.115,0.476,0.117,-0.093
