col1,name,SPECOBJID,PLATEID,MJD,FIBERID,BPTCLASS,RA_1,DEC_1,Z,Z_ERR,OH_P2P5,OH_P16,OH_P50,OH_P84,OH_P97P5,OH_ENTROPY,objID,ra_1a,dec_1a,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,uJAVA,gSDSS,rSDSS,iSDSS,zSDSS,J0378,J0395,J0410,J0430,J0515,J0660,J0861,Separation,u-g,g-r,r-i,i-z,uJAVA-J0378,gSDSS-J0378,rSDSS-J0378,iSDSS-J0378,zSDSS-J0378,J0378-J0395,J0395-J0410,J0410-J0430,J0430-J0515,J0515-J0660,J0660-J0861,uJAVA-J0395,gSDSS-J0395,rSDSS-J0395,iSDSS-J0395,zSDSS-J0395,uJAVA-J0410,gSDSS-J0410,rSDSS-J0410,iSDSS-J0410,zSDSS-J0410,uJAVA-J0430,gSDSS-J0430,rSDSS-J0430,iSDSS-J0430,zSDSS-J0430,uJAVA-J0515,gSDSS-J0515,rSDSS-J0515,iSDSS-J0515,zSDSS-J0515,uJAVA-J0660,gSDSS-J0660,rSDSS-J0660,iSDSS-J0660,zSDSS-J0660,uJAVA-J0861,gSDSS-J0861,rSDSS-J0861,iSDSS-J0861,zSDSS-J0861
85107,105364,7.78E+17,691,52199,366,1,10.827207,1.1954914,0.1744885,7.72E-06,8.696966,8.776724,8.824718,8.872398,8.932519,111.74823,1.24E+18,10.8271673,1.195535253,4858,301,6,427,GALAXY,21.20893,20.13517,19.65676,19.35211,19.33038,20.861,20.095,19.721,19.183,18.922,25.676,20.819,21.075,20.887,20.092,19.625,19.059,0.149734972,1.07376,0.47841,0.30465,0.02173,-4.815,-5.581,-5.955,-6.493,-6.754,4.857,-0.256,0.188,0.795,0.467,0.566,0.042,-0.724,-1.098,-1.636,-1.897,-0.214,-0.98,-1.354,-1.892,-2.153,-0.026,-0.792,-1.166,-1.704,-1.965,0.769,0.003,-0.538,-0.261,-1.17,1.236,0.47,0.096,-0.442,-0.703,1.802,1.036,0.662,0.124,-0.137
11393,31422,1.74E+18,1542,53734,468,1,5.110469,0.239459,0.15758023,1.36E-05,8.733109,8.804969,8.850075,8.9087,8.952938,118.52478,1.24E+18,5.11048086,0.239454849,2728,301,4,447,GALAXY,20.22917,19.2531,18.6884,18.29237,18.2195,20.874,19.507,19.144,18.771,18.764,25.195,19.629,19.472,19.569,19.286,19.218,18.881,0.058571942,0.97607,0.5647,0.39603,0.07287,-4.321,-5.688,-6.051,-6.424,-6.431,5.566,0.157,-0.097,0.283,0.068,0.337,1.245,-0.122,-0.485,-0.858,-0.865,1.402,0.035,-0.328,-0.701,-0.708,1.305,-0.062,-0.425,-0.798,-0.805,1.588,0.221,-0.373,-0.007,-0.522,1.656,0.289,-0.074,-0.447,-0.454,1.993,0.626,0.263,-0.11,-0.117
27433,47516,1.50E+18,1331,52766,564,1,231.55038,48.494274,0.0366621,1.08E-05,8.1980095,8.564187,8.673903,8.749602,8.836093,60.229874,1.24E+18,231.5503407,48.4942669,3187,301,6,33,GALAXY,19.24188,18.10576,17.69024,17.49809,17.36906,19.97,18.082,17.649,17.484,17.327,23.336,18.688,18.247,18.439,17.91,17.727,17.164,0.625151837,1.13612,0.41552,0.19215,0.12903,-3.366,-5.254,-5.687,-5.852,-6.009,4.648,0.441,-0.192,0.529,0.183,0.563,1.282,-0.606,-1.039,-1.204,-1.361,1.723,-0.165,-0.598,-0.763,-0.92,1.531,-0.357,-0.79,-0.955,-1.112,2.06,0.172,-0.165,-0.157,-0.583,2.243,0.355,-0.078,-0.243,-0.4,2.806,0.918,0.485,0.32,0.163
15612,35647,1.64E+18,1460,53138,15,1,199.60275,41.53392,0.09717647,1.05E-05,8.846756,8.9171295,8.970026,9.009426,9.068963,119.77809,1.24E+18,199.6027485,41.53391688,3893,301,3,248,GALAXY,20.22276,18.65678,17.77633,17.28253,16.88955,20.139,18.647,17.809,17.377,17.085,22.319,19.86,19.654,19.113,18.344,17.737,17.118,0.022016641,1.56598,0.88045,0.4938,0.39298,-2.18,-3.672,-4.51,-4.942,-5.234,2.459,0.206,0.541,0.769,0.607,0.619,0.279,-1.213,-2.051,-2.483,-2.775,0.485,-1.007,-1.845,-2.277,-2.569,1.026,-0.466,-1.304,-1.736,-2.028,1.795,0.303,-0.432,-0.292,-1.259,2.402,0.91,0.072,-0.36,-0.652,3.021,1.529,0.691,0.259,-0.033
14196,34227,1.68E+18,1491,52996,416,1,3.162647,1.217606,0.15331411,1.06E-05,7.944945,8.051622,8.278747,8.629552,8.715565,21.191551,1.24E+18,3.162638414,1.217579555,2728,301,6,434,GALAXY,20.27741,19.4551,19.05502,18.87864,18.82436,21.192,19.409,18.983,18.915,19.096,23.524,20.655,20.144,19.207,19.24,19.079,18.648,0.101252161,0.82231,0.40008,0.17638,0.05428,-2.332,-4.115,-4.541,-4.609,-4.428,2.869,0.511,0.937,-0.033,0.161,0.431,0.537,-1.246,-1.672,-1.74,-1.559,1.048,-0.735,-1.161,-1.229,-1.048,1.985,0.202,-0.224,-0.292,-0.111,1.952,0.169,-0.068,0.181,-0.144,2.113,0.33,-0.096,-0.164,0.017,2.544,0.761,0.335,0.267,0.448
70885,91119,9.38E+17,833,52314,297,1,139.67902,45.18322,0.15653677,1.61E-05,8.706631,8.7973385,8.858357,8.92662,8.979452,96.708534,1.24E+18,139.6790202,45.18327171,2740,301,4,237,GALAXY,19.67181,18.33882,17.49557,17.09082,16.82377,19.486,18.62,17.875,17.491,17.217,21.899,19.244,19.825,18.893,18.159,17.679,17.189,0.210757496,1.33299,0.84325,0.40475,0.26705,-2.413,-3.279,-4.024,-4.408,-4.682,2.655,-0.581,0.932,0.734,0.48,0.49,0.242,-0.624,-1.369,-1.753,-2.027,-0.339,-1.205,-1.95,-2.334,-2.608,0.593,-0.273,-1.018,-1.402,-1.676,1.327,0.461,-0.384,-0.274,-0.942,1.807,0.941,0.196,-0.188,-0.462,2.297,1.431,0.686,0.302,0.028
11411,31440,1.74E+18,1542,53734,384,1,4.485883,0.287522,0.15419938,8.74E-06,8.120088,8.446892,8.676727,8.777521,8.858611,36.67222,1.24E+18,4.485933891,0.287537236,2728,301,4,443,GALAXY,20.66351,19.56963,19.11432,18.85625,18.88562,21.834,19.545,19.373,19.121,19.156,23.503,22.971,19.602,19.566,19.257,19.074,19.062,0.511083397,1.09388,0.45531,0.25807,-0.02937,-1.669,-3.958,-4.13,-4.382,-4.347,0.532,3.369,0.036,0.309,0.183,0.012,-1.137,-3.426,-3.598,-3.85,-3.815,2.232,-0.057,-0.229,-0.481,-0.446,2.268,-0.021,-0.193,-0.445,-0.41,2.577,0.288,-0.252,0.035,-0.101,2.76,0.471,0.299,0.047,0.082,2.772,0.483,0.311,0.059,0.094
28016,48107,1.49E+18,1325,52762,334,1,211.60858,54.963978,0.07814934,1.01E-05,8.744023,8.851521,8.961568,9.088221,9.261167,70.821976,1.24E+18,211.6085737,54.96397711,3705,301,4,94,GALAXY,19.87145,18.11408,17.23964,16.72355,16.36322,19.974,18.206,17.444,16.963,16.744,21.228,19.316,18.817,18.488,17.946,17.384,16.856,0.285908352,1.75737,0.87444,0.51609,0.36033,-1.254,-3.022,-3.784,-4.265,-4.484,1.912,0.499,0.329,0.542,0.562,0.528,0.658,-1.11,-1.872,-2.353,-2.572,1.157,-0.611,-1.373,-1.854,-2.073,1.486,-0.282,-1.044,-1.525,-1.744,2.028,0.26,-0.481,-0.219,-1.202,2.59,0.822,0.06,-0.421,-0.64,3.118,1.35,0.588,0.107,-0.112
85423,105680,7.75E+17,688,52203,413,1,5.533436,1.0747532,0.27799833,1.40E-05,8.69795,8.805328,8.866984,8.932647,8.982006,92.214676,1.24E+18,5.533425074,1.074795855,2728,301,6,450,GALAXY,20.86291,20.52934,19.99335,19.76323,19.54129,20.958,20.189,19.663,19.465,19.668,23.552,20.079,20.315,21.059,20.058,20.205,19.226,0.209685728,0.33357,0.53599,0.23012,0.22194,-2.594,-3.363,-3.889,-4.087,-3.884,3.473,-0.236,-0.744,1.001,-0.147,0.979,0.879,0.11,-0.416,-0.614,-0.411,0.643,-0.126,-0.652,-0.85,-0.647,-0.101,-0.87,-1.396,-1.594,-1.391,0.9,0.131,-0.198,0.203,-0.39,0.753,-0.016,-0.542,-0.74,-0.537,1.732,0.963,0.437,0.239,0.442
85205,105462,7.77E+17,690,52261,442,1,9.666244,1.1644319,0.24143246,7.52E-06,8.7916565,8.822467,8.854327,8.90614,8.950712,149.5495,1.24E+18,9.666202919,1.164455008,2728,301,6,477,GALAXY,20.50776,19.80965,19.31534,19.09912,19.04542,20.476,19.986,19.611,19.21,19.305,23.26,20.116,21.697,20.122,20.185,19.233,19.14,0.199385977,0.69811,0.49431,0.21622,0.0537,-2.784,-3.274,-3.649,-4.05,-3.955,3.144,-1.581,1.575,-0.063,0.952,0.093,0.36,-0.13,-0.505,-0.906,-0.811,-1.221,-1.711,-2.086,-2.487,-2.392,0.354,-0.136,-0.511,-0.912,-0.817,0.291,-0.199,-0.401,0.095,-0.88,1.243,0.753,0.378,-0.023,0.072,1.336,0.846,0.471,0.07,0.165
85434,105691,7.75E+17,688,52203,353,1,4.487297,0.48747405,0.15630373,6.42E-06,8.94291,8.963084,8.995401,9.014357,9.043625,176.06363,1.24E+18,4.487275631,0.487462662,4145,301,5,140,GALAXY,19.50636,18.51294,17.92239,17.53068,17.31164,19.029,18.558,18.024,17.602,17.601,21.651,18.996,19.214,19.328,18.122,17.864,17.468,0.11901243,0.99342,0.59055,0.39171,0.21904,-2.622,-3.093,-3.627,-4.049,-4.05,2.655,-0.218,-0.114,1.206,0.258,0.396,0.033,-0.438,-0.972,-1.394,-1.395,-0.185,-0.656,-1.19,-1.612,-1.613,-0.299,-0.77,-1.304,-1.726,-1.727,0.907,0.436,-0.422,-0.001,-0.521,1.165,0.694,0.16,-0.262,-0.263,1.561,1.09,0.556,0.134,0.133
12893,32924,1.70E+18,1506,53003,557,1,32.21113,0.566959,0.067884564,1.27E-05,8.5820875,8.672903,8.764883,8.835199,8.907949,85.25565,1.24E+18,32.21114311,0.566943099,4263,301,5,331,GALAXY,20.36611,18.77659,18.15963,17.85235,17.68071,18.44,18.569,18.09,17.842,17.426,21.811,19.829,18.702,19.32,18.146,17.916,17.742,0.244004796,1.58952,0.61696,0.30728,0.17164,-3.371,-3.242,-3.721,-3.969,-4.385,1.982,1.127,-0.618,1.174,0.23,0.174,-1.389,-1.26,-1.739,-1.987,-2.403,-0.262,-0.133,-0.612,-0.86,-1.276,-0.88,-0.751,-1.23,-1.478,-1.894,0.294,0.423,-0.248,-0.416,-0.72,0.524,0.653,0.174,-0.074,-0.49,0.698,0.827,0.348,0.1,-0.316
11408,31437,1.74E+18,1542,53734,395,1,4.463164,-0.054914,0.15041944,1.05E-05,8.940202,8.980503,9.002471,9.051258,9.077139,156.91101,1.24E+18,4.463183883,-0.054895012,2728,301,3,443,GALAXY,20.53875,19.3457,18.68822,18.3036,18.07566,21.132,19.533,18.738,18.384,18.31,22.336,19.306,19.131,20.121,18.922,18.567,17.995,0.036772022,1.19305,0.65748,0.38462,0.22794,-1.204,-2.803,-3.598,-3.952,-4.026,3.03,0.175,-0.99,1.199,0.355,0.572,1.826,0.227,-0.568,-0.922,-0.996,2.001,0.402,-0.393,-0.747,-0.821,1.011,-0.588,-1.383,-1.737,-1.811,2.21,0.611,-0.354,-0.074,-0.612,2.565,0.966,0.171,-0.183,-0.257,3.137,1.538,0.743,0.389,0.315
70901,91135,9.38E+17,833,52314,235,1,140.29507,45.88783,0.006255761,1.50E-05,8.916685,8.961762,8.975947,8.9971485,9.050733,178.59251,1.24E+18,140.2950463,45.88785341,2777,301,4,226,GALAXY,15.67139,14.49983,13.98496,13.71563,13.50895,15.237,14.169,12.448,11.312,13.281,15.264,15.41,14.999,14.334,14.202,13.273,13.115,0.579378872,1.17156,0.51487,0.26933,0.20668,-0.027,-1.095,-2.816,-3.952,-1.983,-0.146,0.411,0.665,0.132,0.929,0.158,-0.173,-1.241,-2.962,-4.098,-2.129,0.238,-0.83,-2.551,-3.687,-1.718,0.903,-0.165,-1.886,-3.022,-1.053,1.035,-0.033,-1.136,1.969,-0.921,1.964,0.896,-0.825,-1.961,0.008,2.122,1.054,-0.667,-1.803,0.166
85491,105748,7.74E+17,687,52518,563,1,4.556956,1.2406145,0.37184536,2.07E-05,8.709013,8.826353,8.941382,9.050611,9.349052,54.151436,1.24E+18,4.556898647,1.240649313,7717,301,1,360,GALAXY,20.89324,20.45868,19.60571,19.2995,19.03202,20.319,20.253,19.46,19.219,18.928,23.118,21.527,20.487,20.999,20.595,19.524,19.133,0.239978473,0.43456,0.85297,0.30621,0.26748,-2.799,-2.865,-3.658,-3.899,-4.19,1.591,1.04,-0.512,0.404,1.071,0.391,-1.208,-1.274,-2.067,-2.308,-2.599,-0.168,-0.234,-1.027,-1.268,-1.559,-0.68,-0.746,-1.539,-1.78,-2.071,-0.276,-0.342,-0.241,-0.291,-1.667,0.795,0.729,-0.064,-0.305,-0.596,1.186,1.12,0.327,0.086,-0.205
84031,104288,7.90E+17,702,52178,413,1,32.006283,0.88581026,0.24634881,1.62E-05,8.920921,8.970845,9.0119095,9.073445,9.121861,121.20643,1.24E+18,32.00629026,0.885812795,4263,301,6,329,GALAXY,20.49966,19.63783,18.8938,18.55794,18.26775,20.456,19.569,18.938,18.618,18.49,22.476,19.972,21.47,19.984,19.184,18.891,18.474,0.143730355,0.86183,0.74403,0.33586,0.29019,-2.02,-2.907,-3.538,-3.858,-3.986,2.504,-1.498,1.486,0.8,0.293,0.417,0.484,-0.403,-1.034,-1.354,-1.482,-1.014,-1.901,-2.532,-2.852,-2.98,0.472,-0.415,-1.046,-1.366,-1.494,1.272,0.385,-0.32,-0.128,-0.694,1.565,0.678,0.047,-0.273,-0.401,1.982,1.095,0.464,0.144,0.016
104984,125264,5.53E+17,491,51942,566,1,171.85773,67.59894,0.14558512,1.20E-05,8.952316,8.992855,9.049088,9.1053705,9.157274,123.66201,1.24E+18,171.8577491,67.59890176,1350,301,5,336,GALAXY,19.98283,18.41094,17.48828,17.03604,16.72314,19.816,18.543,17.851,17.416,17.153,21.25,18.938,19.653,18.952,18.338,17.638,17.239,0.082480144,1.57189,0.92266,0.45224,0.3129,-1.434,-2.707,-3.399,-3.834,-4.097,2.312,-0.715,0.701,0.614,0.7,0.399,0.878,-0.395,-1.087,-1.522,-1.785,0.163,-1.11,-1.802,-2.237,-2.5,0.864,-0.409,-1.101,-1.536,-1.799,1.478,0.205,-0.435,-0.263,-1.185,2.178,0.905,0.213,-0.222,-0.485,2.577,1.304,0.612,0.177,-0.086
40670,60864,1.31E+18,1162,52668,175,1,218.75197,54.812008,0.09854318,6.45E-06,8.8536005,8.864336,8.876046,8.917627,8.957467,202.3841,1.24E+18,218.7519894,54.81200398,3184,301,3,19,GALAXY,19.91488,18.33413,17.54698,17.06117,16.86004,20.131,18.324,17.528,17.101,16.79,20.886,19.267,19.068,19.473,17.806,17.279,16.894,0.355544815,1.58075,0.78715,0.48581,0.20113,-0.755,-2.562,-3.358,-3.785,-4.096,1.619,0.199,-0.405,1.667,0.527,0.385,0.864,-0.943,-1.739,-2.166,-2.477,1.063,-0.744,-1.54,-1.967,-2.278,0.658,-1.149,-1.945,-2.372,-2.683,2.325,0.518,-0.427,-0.311,-1.016,2.852,1.045,0.249,-0.178,-0.489,3.237,1.43,0.634,0.207,-0.104
10688,30717,1.75E+18,1556,53740,608,1,32.491283,0.965405,0.19944796,1.27E-05,8.821865,8.872464,8.939268,8.985167,9.024792,111.495445,1.24E+18,32.49128872,0.965430728,7717,301,1,546,GALAXY,20.86139,19.80121,19.19367,18.80139,18.70567,22.236,19.585,19.343,18.965,18.888,22.743,20.921,20.013,20.485,19.497,19.194,18.897,0.299229695,1.06018,0.60754,0.39228,0.09572,-0.507,-3.158,-3.4,-3.778,-3.855,1.822,0.908,-0.472,0.988,0.303,0.297,1.315,-1.336,-1.578,-1.956,-2.033,2.223,-0.428,-0.67,-1.048,-1.125,1.751,-0.9,-1.142,-1.52,-1.597,2.739,0.088,-0.378,-0.077,-0.609,3.042,0.391,0.149,-0.229,-0.306,3.339,0.688,0.446,0.068,-0.009
44791,64988,1.21E+18,1073,52649,378,1,32.928886,0.754967,0.19892669,1.50E-05,8.917008,8.972009,9.001516,9.056587,9.128502,140.78062,1.24E+18,32.92889025,0.754979855,2700,301,5,85,GALAXY,20.0503,18.77818,17.96202,17.51903,17.21163,20.08,18.721,17.973,17.588,17.412,21.309,19.155,19.118,19.173,18.234,17.957,17.454,0.075399431,1.27212,0.81616,0.44299,0.3074,-1.229,-2.588,-3.336,-3.721,-3.897,2.154,0.037,-0.055,0.939,0.277,0.503,0.925,-0.434,-1.182,-1.567,-1.743,0.962,-0.397,-1.145,-1.53,-1.706,0.907,-0.452,-1.2,-1.585,-1.761,1.846,0.487,-0.385,-0.176,-0.822,2.123,0.764,0.016,-0.369,-0.545,2.626,1.267,0.519,0.134,-0.042
80744,100994,8.31E+17,738,52521,485,1,338.13086,13.977019,0.09318846,1.38E-05,8.87883,8.946953,8.985415,9.014595,9.080193,147.68855,1.24E+18,338.1308626,13.97699076,2507,301,5,142,GALAXY,19.92304,18.39673,17.56458,17.06927,16.74345,19.811,18.217,17.508,17.054,16.769,20.737,18.953,19.047,18.935,17.93,17.36,16.806,0.142244799,1.52631,0.83215,0.49531,0.32582,-0.926,-2.52,-3.229,-3.683,-3.968,1.784,-0.094,0.112,1.005,0.57,0.554,0.858,-0.736,-1.445,-1.899,-2.184,0.764,-0.83,-1.539,-1.993,-2.278,0.876,-0.718,-1.427,-1.881,-2.166,1.881,0.287,-0.454,-0.285,-1.161,2.451,0.857,0.148,-0.306,-0.591,3.005,1.411,0.702,0.248,-0.037
17920,37963,1.62E+18,1437,53046,637,1,167.96136,41.122997,0.07396578,8.93E-06,9.0416155,9.051326,9.089868,9.109967,9.118681,191.72983,1.24E+18,167.961359,41.12299597,3893,301,3,90,GALAXY,18.54995,17.43024,16.8586,16.50935,16.28413,18.071,17.317,16.816,16.473,16.285,20.089,17.889,17.799,17.879,17.264,16.686,16.285,0.082509365,1.11971,0.57164,0.34925,0.22522,-2.018,-2.772,-3.273,-3.616,-3.804,2.2,0.09,-0.08,0.615,0.578,0.401,0.182,-0.572,-1.073,-1.416,-1.604,0.272,-0.482,-0.983,-1.326,-1.514,0.192,-0.562,-1.063,-1.406,-1.594,0.807,0.053,-0.343,-0.188,-0.979,1.385,0.631,0.13,-0.213,-0.401,1.786,1.032,0.531,0.188,0
42850,63046,1.23E+18,1089,52913,604,1,4.721478,0.629957,0.046747133,5.90E-06,7.9511695,8.03445,8.156975,8.32081,8.488577,49.51484,1.24E+18,4.721406129,0.629947422,4145,301,5,142,GALAXY,20.48658,19.74221,19.40045,19.29672,19.12945,19.91,19.036,18.719,18.474,18.497,22.07,19.79,19.123,18.716,18.821,18.519,18.339,1.484995559,0.74437,0.34176,0.10373,0.16727,-2.16,-3.034,-3.351,-3.596,-3.573,2.28,0.667,0.407,-0.105,0.302,0.18,0.12,-0.754,-1.071,-1.316,-1.293,0.787,-0.087,-0.404,-0.649,-0.626,1.194,0.32,0.003,-0.242,-0.219,1.089,0.215,-0.245,0.023,-0.324,1.391,0.517,0.2,-0.045,-0.022,1.571,0.697,0.38,0.135,0.158
85442,105699,7.75E+17,688,52203,277,1,5.2340684,-0.020845665,0.15826175,5.67E-06,8.717429,8.766884,8.785258,8.797096,8.814841,200.48145,1.24E+18,5.234045437,-0.020832862,2728,301,3,448,GALAXY,19.69562,18.90806,18.44665,18.17409,18.07335,19.845,18.719,18.244,18.083,18.085,21.615,19.533,19.327,18.615,18.451,18.313,18.045,0.132447689,0.78756,0.46141,0.27256,0.10074,-1.77,-2.896,-3.371,-3.532,-3.53,2.082,0.206,0.712,0.164,0.138,0.268,0.312,-0.814,-1.289,-1.45,-1.448,0.518,-0.608,-1.083,-1.244,-1.242,1.23,0.104,-0.371,-0.532,-0.53,1.394,0.268,-0.161,0.002,-0.366,1.532,0.406,-0.069,-0.23,-0.228,1.8,0.674,0.199,0.038,0.04
27350,47432,1.50E+18,1332,52781,458,1,233.57062,47.39309,0.07191693,1.82E-05,8.613194,8.728044,8.835656,8.931762,9.004855,69.45984,1.24E+18,233.5706041,47.39308834,3187,301,6,45,GALAXY,19.59343,17.90742,17.06923,16.56847,16.19878,19.165,17.749,17.061,16.626,16.283,20.15,18.553,18.7,18.189,17.388,16.949,16.323,0.326986297,1.68601,0.83819,0.50076,0.36969,-0.985,-2.401,-3.089,-3.524,-3.867,1.597,-0.147,0.511,0.801,0.439,0.626,0.612,-0.804,-1.492,-1.927,-2.27,0.465,-0.951,-1.639,-2.074,-2.417,0.976,-0.44,-1.128,-1.563,-1.906,1.777,0.361,-0.435,-0.343,-1.105,2.216,0.8,0.112,-0.323,-0.666,2.842,1.426,0.738,0.303,-0.04
42981,63177,1.23E+18,1088,52929,475,1,5.106696,0.091142,0.12114095,1.02E-05,8.996416,9.043314,9.065512,9.10655,9.1282215,157.63817,1.24E+18,5.106703883,0.091147691,4263,301,4,150,GALAXY,19.85539,18.59023,17.97786,17.59007,17.33772,18.863,18.603,17.983,17.702,17.407,21.154,19.48,18.908,19.063,18.516,17.867,17.597,0.052512622,1.26516,0.61237,0.38779,0.25235,-2.291,-2.551,-3.171,-3.452,-3.747,1.674,0.572,-0.155,0.547,0.649,0.27,-0.617,-0.877,-1.497,-1.778,-2.073,-0.045,-0.305,-0.925,-1.206,-1.501,-0.2,-0.46,-1.08,-1.361,-1.656,0.347,0.087,-0.281,-0.295,-1.109,0.996,0.736,0.116,-0.165,-0.46,1.266,1.006,0.386,0.105,-0.19
12841,32872,1.70E+18,1507,53763,428,1,33.14569,0.538596,0.100574255,7.02E-06,8.288764,8.575229,8.650412,8.702266,8.769986,90.465965,1.24E+18,33.14571805,0.538576811,4263,301,5,337,GALAXY,20.48491,19.51037,19.06196,18.7523,18.68766,20.511,19.334,19.081,18.824,18.98,22.222,19.732,20.147,19.729,19.31,19.16,18.721,0.072306771,0.97454,0.44841,0.30966,0.06464,-1.711,-2.888,-3.141,-3.398,-3.242,2.49,-0.415,0.418,0.419,0.15,0.439,0.779,-0.398,-0.651,-0.908,-0.752,0.364,-0.813,-1.066,-1.323,-1.167,0.782,-0.395,-0.648,-0.905,-0.749,1.201,0.024,-0.257,0.156,-0.33,1.351,0.174,-0.079,-0.336,-0.18,1.79,0.613,0.36,0.103,0.259
7528,27546,1.79E+18,1590,52974,378,1,134.14941,30.6802,0.08581783,7.10E-06,8.801895,8.838443,8.855797,8.918062,8.938426,160.1433,1.24E+18,134.1493937,30.68019686,3635,301,5,164,GALAXY,20.11901,18.24616,17.62645,17.21411,16.94109,19.436,18.216,17.705,17.323,17.048,20.669,19.473,18.716,18.614,17.816,17.581,17.12,0.07278536,1.87285,0.61971,0.41234,0.27302,-1.233,-2.453,-2.964,-3.346,-3.621,1.196,0.757,0.102,0.798,0.235,0.461,-0.037,-1.257,-1.768,-2.15,-2.425,0.72,-0.5,-1.011,-1.393,-1.668,0.822,-0.398,-0.909,-1.291,-1.566,1.62,0.4,-0.382,-0.275,-0.768,1.855,0.635,0.124,-0.258,-0.533,2.316,1.096,0.585,0.203,-0.072
13916,33947,1.68E+18,1494,52937,575,1,9.296925,1.178677,0.16519703,3.66E-05,8.735139,8.872606,9.004313,9.152915,9.270434,44.087265,1.24E+18,9.296925665,1.178676017,2728,301,6,475,GALAXY,21.4231,19.36685,18.51991,18.10757,17.86602,22.884,18.901,18.616,18.123,17.979,21.457,19.933,20.084,19.638,18.812,18.448,17.878,0.180593453,2.05625,0.84694,0.41234,0.24155,1.427,-2.556,-2.841,-3.334,-3.478,1.524,-0.151,0.446,0.826,0.364,0.57,2.951,-1.032,-1.317,-1.81,-1.954,2.8,-1.183,-1.468,-1.961,-2.105,3.246,-0.737,-1.022,-1.515,-1.659,4.072,0.089,-0.493,-0.144,-0.833,4.436,0.453,0.168,-0.325,-0.469,5.006,1.023,0.738,0.245,0.101
10605,30634,1.75E+18,1557,53301,337,1,32.567852,0.931601,0.11800862,1.14E-05,8.822784,8.87772,8.946984,8.993602,9.042894,108.2283,1.24E+18,32.56785548,0.93160477,3388,301,6,537,GALAXY,20.76426,19.71786,19.06656,18.69902,18.38633,21.153,19.292,19.229,18.638,18.579,21.966,23.845,20.579,20.615,19.708,18.97,18.89,0.129545486,1.0464,0.6513,0.36754,0.31269,-0.813,-2.674,-2.737,-3.328,-3.387,-1.879,3.266,-0.036,0.907,0.738,0.08,-2.692,-4.553,-4.616,-5.207,-5.266,0.574,-1.287,-1.35,-1.941,-2,0.538,-1.323,-1.386,-1.977,-2.036,1.445,-0.416,-0.591,-0.059,-1.129,2.183,0.322,0.259,-0.332,-0.391,2.263,0.402,0.339,-0.252,-0.311
25215,45287,1.53E+18,1357,53034,384,1,152.32439,41.07641,0.06422478,1.33E-05,8.866368,8.928661,8.981148,9.020144,9.088561,121.54653,1.24E+18,152.3243756,41.07640385,3562,301,6,39,GALAXY,19.62975,18.08244,17.35827,16.94627,16.65633,20.591,18.01,17.311,16.962,16.749,20.274,18.977,18.799,18.374,17.719,17.196,16.797,0.027874268,1.54731,0.72417,0.412,0.28994,0.317,-2.264,-2.963,-3.312,-3.525,1.297,0.178,0.425,0.655,0.523,0.399,1.614,-0.967,-1.666,-2.015,-2.228,1.792,-0.789,-1.488,-1.837,-2.05,2.217,-0.364,-1.063,-1.412,-1.625,2.872,0.291,-0.349,-0.213,-0.97,3.395,0.814,0.115,-0.234,-0.447,3.794,1.213,0.514,0.165,-0.048
58,73,2.12E+18,1879,54478,249,1,147.82611,67.831665,0.039194975,1.21E-05,8.567734,8.640608,8.701079,8.759258,8.83759,95.858376,1.24E+18,147.8261585,67.83168917,4264,301,2,252,GALAXY,19.68295,18.24543,17.5163,17.09633,16.82263,19.137,18.276,17.586,17.07,16.911,20.338,19.392,18.258,18.092,17.933,17.306,17.11,0.079532726,1.43752,0.72913,0.41997,0.2737,-1.201,-2.062,-2.752,-3.268,-3.427,0.946,1.134,0.166,0.159,0.627,0.196,-0.255,-1.116,-1.806,-2.322,-2.481,0.879,0.018,-0.672,-1.188,-1.347,1.045,0.184,-0.506,-1.022,-1.181,1.204,0.343,-0.516,-0.159,-1.022,1.831,0.97,0.28,-0.236,-0.395,2.027,1.166,0.476,-0.04,-0.199
118286,138585,4.39E+17,390,51900,496,1,5.5315056,-0.10193579,0.0859028,6.19E-06,8.56068,8.574675,8.590791,8.607983,8.619486,198.78116,1.24E+18,5.531480463,-0.101983408,2728,301,3,450,GALAXY,19.71167,18.65982,18.26203,17.94611,17.87103,19.306,18.574,18.181,17.912,17.921,21.158,18.902,19.358,18.809,18.166,18.189,17.744,0.063154708,1.05185,0.39779,0.31592,0.07508,-1.852,-2.584,-2.977,-3.246,-3.237,2.256,-0.456,0.549,0.643,-0.023,0.445,0.404,-0.328,-0.721,-0.99,-0.981,-0.052,-0.784,-1.177,-1.446,-1.437,0.497,-0.235,-0.628,-0.897,-0.888,1.14,0.408,-0.269,0.009,-0.245,1.117,0.385,-0.008,-0.277,-0.268,1.562,0.83,0.437,0.168,0.177
