delta_E_Z,delta_E_OH,delta_E_M_f,delta_E_SFR_f,r mag
0.0006953290893333686,-0.11146559511110965,-0.017983417111107514,-0.16858133477488868,18.48463
0.0063460962386666445,-0.09121923111109353,0.0291049213333352,0.2119821472588888,18.46781
-0.008781062593333416,0.1404829670000094,0.04870617666667165,-0.11489875198177765,19.89367
0.012995879661555576,0.008758048555559839,-0.18654310768888394,0.26908690983977795,19.33196
0.0025243576680000004,0.05861820600000911,0.0326343864444496,-0.13815375995822277,18.41584
-0.00041316877533326135,-0.031072989333333467,0.029583927000000898,-0.07327195115022206,17.56875
0.015809979560222204,0.12866019511110593,0.229116594488886,0.05963638453222342,19.70824
-0.0015923073211109584,0.1622930343333291,-0.11619217088888867,-0.19293912171399985,18.77755
0.0003816682002222224,-0.13556237577778063,-0.026840668555543346,0.11281725983377688,18.5652
0.005168188353111128,0.47336253833333863,-0.06044060393332984,0.2887213207406666,18.53719
0.002395495014444457,-0.054594800444426994,0.014862479777784543,0.07450761677288906,18.86291
-0.0029400394911109212,-0.054940639444442496,-0.03387278766666668,-0.06019878715133331,18.50676
-0.025774062377778073,-0.03186707788888654,-1.3900384199333295,0.016642502721778696,20.22976
-0.002236911195555552,-0.08932068911111202,-0.10592067866666177,0.10497522658177849,19.06636
0.01661765574866672,0.14547592142221077,0.20551037733334,0.13363769291999997,20.20541
0.00028832393533322065,-0.03513647722221336,0.0407244569999996,0.1831307716408887,19.53032
0.0544603644346669,0.11414774144445872,0.09970181213333618,0.3533823741899996,20.08235
0.0008553140782220636,0.18637111522221517,0.014047778333333483,0.25136266829466647,18.29939
0.005000915932666633,0.06521237355554987,0.10044854288888949,0.04810388046066649,19.07287
-0.002831114118444472,0.015068951444444423,-0.08242291133332458,-0.059769541209555424,17.51218
0.00036282754444451337,-0.04052465399999683,-0.0011931793333310736,0.05974326711533337,18.13866
0.009248648708888974,-0.11831512422221913,0.035767345555566266,0.20026012035222227,18.68203
-0.005472150572444434,-0.03359152977777313,-0.11236120822221629,0.04681689317399984,19.09735
0.0012630278157777786,0.020398339888890504,0.05214435033335185,0.03103081231888888,18.46427
0.0006523158066663592,-0.03752376299997984,-0.03342820200000318,-0.0067766031911107305,18.78666
0.0006349604293333228,-0.0225698614444525,-0.04039669288888703,-0.07831693998755551,19.03328
0.0025759747059999477,-0.0042900777777710175,0.05019168744443725,-0.2854780969419999,17.4373
-0.012890252251111123,-0.04642636475555584,-0.03616640215555833,-0.5209362785660001,19.77281
-0.002482089401333265,-0.07286264888889171,-0.013431758222226975,-0.18243400627555528,17.96706
-0.0009234300915555577,0.2400295734444544,0.04077989422222217,0.052210539126221756,17.94342
-0.0012678584882221955,-0.013395625777778974,-0.0674284387777746,0.1134954101544444,18.98672
0.002867459473999981,0.01074840366667118,0.0695423447777781,0.20161166647911155,18.22677
-0.0031558726420000127,-0.1424840286666651,-0.11386918079999475,0.10738324080444328,18.67719
-0.006729084376888933,-0.02205500122222226,-0.04481752444445064,-0.06968305568177777,18.7488
-0.006210128136444511,-0.17029594266665704,-0.17543941208888647,-0.11654639704444358,19.41114
-0.007105804833111129,-0.10701405955555288,-0.12267670837777445,0.0783469186208885,19.06536
0.004097409178666647,0.13754233822221273,0.0044194875333172234,0.20426416870711117,18.5629
0.0013926022982222175,-0.03442661477777875,-0.0732534224444521,-0.04158983894844426,17.6818
-0.0003206460415554335,-0.030736839222230472,0.014022196111111995,0.19143395232866678,18.59187
0.0017845886182221438,0.2580243362222223,0.048923911666676645,-0.1442805591051114,19.309
-0.004429571598666637,-0.14814356822221164,-0.1021419447777685,0.03688758007022219,19.08369
0.005344027305111146,0.09316139488888453,0.016831786999992104,0.33629562292777765,18.45901
-0.0029429319455555603,-0.00890778155554628,0.012901397066656273,-0.0692167383068889,17.66925
