delta_E_Z,delta_E_OH,delta_E_M_f,delta_E_SFR_f,r mag
-0.00965893973311091,0.08656123511111957,-0.054473240333331674,0.49065831532755555,18.9866
0.0011909596768888975,0.04971399511110697,0.014757547666667037,0.12605979146844437,18.75814
0.0032631994288889743,0.017999958222223,0.07975659499999743,0.045147032368444306,18.22876
0.0024225716322222486,0.1799563561111146,0.046314054933336735,-0.0820689164377777,17.85378
-0.017703020007777653,0.08101438388888837,0.09301466951109916,-0.3286404029748895,18.76985
-0.003480948236666559,-0.03906036877776309,-0.05940634255555288,-0.013433364873555398,17.65968
0.014604179852000042,-0.08071629533333535,0.2157810138444436,0.3312590316106665,19.99029
-0.012802770391111051,0.002540737999995102,-0.07300490800000503,-0.19194102535533242,19.00641
4.8230840222249216e-05,-0.08968842755556672,0.006337260000005784,0.08961412459911267,18.27732
0.0030687282360000873,0.04085652544443619,-0.08389524255555081,0.1377329499784442,18.33295
-0.002441971011111127,-0.04362280022222187,-0.044341505888885635,0.1804941792608894,18.75076
0.007229959163777833,-0.01044304899999915,-0.01746153355556146,0.06392363315533303,17.89899
-0.010783823356444497,-0.07070700846667322,-0.2951358828444537,-0.3479819150888891,17.86368
-0.0037964400233335,-0.01606010677778258,-0.07690550733332735,0.22014170480888887,18.77772
0.0020063631024447026,0.00476831922222587,-0.04880309888888412,0.48005047302199993,18.8505
0.0023267092217777938,-0.1821857768888897,-0.05364962017779007,0.15124615921555717,18.4683
0.07305086059955554,0.26406908788888295,0.906076991733336,1.239424323708889,18.50784
-0.009056414906444488,-0.1470836262222246,-0.02862152844443422,-0.11216185668999928,19.53617
0.0012077992113333352,-0.07291914555556112,-0.09199616544444922,-0.10136226618444455,18.64265
-0.012592510506444582,-0.10770312033332274,-0.15380626046666102,0.05931436326844455,19.59826
-0.015080309941110898,0.03211245277777408,-0.1317956301111014,-0.2653820877360008,18.8935
0.017236605835333353,0.1340972515555574,0.22966726073334165,0.35563616660133346,19.78608
-0.00014427913244433044,0.06914082655557152,0.03812184677777708,-0.09463263665155586,18.35386
0.011116308732222177,0.137472836777782,0.11847315346667386,0.1665011982831115,19.24152
0.0011021276719998252,-0.050357985333331357,-0.009763127111124703,0.11330253255088818,19.29402
0.0021620935666666896,-0.03569409911111521,-0.0016598698888952157,-0.045073912758443524,17.15621
0.007195858691999915,0.07282628622222198,0.029206311999999457,-0.13678494483466686,18.64161
0.003437822412666644,-0.03460422477777847,0.01585739782221296,0.17986468157711044,18.25842
0.0004996984437778129,0.058695708888894416,0.0566843473333325,0.14917351256133357,19.22094
0.006569312154888873,0.004801940000003668,0.24038373357777942,0.03519177263888895,19.40879
0.004512685460000027,0.19071422600000076,0.14177859422224337,0.38615348232644453,18.40017
-0.019601988502222167,0.07667384302221691,-0.1883735482222253,-0.26831388639422227,19.31291
-0.0015068093071110705,-0.05315921244444155,-0.07149452288888902,-0.0912308156640001,18.23787
-0.011081724897777784,0.006317609333336804,-0.009633844733338393,-0.3320878437919999,19.23962
-0.10687191251555583,-0.2946150771333329,0.4479118600444316,-0.198144475165555,19.70801
0.006020433566000211,-0.023481368666654845,0.01979334699998958,0.019216032992888987,18.48932
0.005051253920222182,0.10389831366666691,0.045295416577786796,0.08402518380022195,19.71296
-0.0036128034222220745,-0.06746187366666945,0.04144187877777661,-0.2656326040382218,18.35689
-0.004290049733333322,-0.042471229000012656,-0.09368015022222487,-0.05827609208288889,16.96782
0.0006264168597777189,0.043058666444453664,-0.03713961486667472,-0.07180000539288833,18.41888
0.0006857519813333324,0.0033734064444459477,-0.04826233033333871,0.02837137743422244,19.15805
0.005472370085555386,0.011134918444442476,0.02801135311110947,0.17007292455755557,18.4632
0.009661377405777834,-0.12619720344444652,0.1310677444444348,0.2106855349000023,19.44707
0.005414190964000046,-0.08300474999999885,-0.009463311777773598,0.25442776752755547,18.94227
-0.015234379638889073,-0.017907872222222565,0.8355519067777788,0.052191164299999815,19.24486
0.0010037691393333242,0.08246459488890245,0.027741265777770252,-0.3072043797202222,18.84188
0.004139530531777881,-0.17266598475555206,0.09679816771111227,0.009435721267333358,18.61483
0.0018262545877778397,0.04206613022220296,-0.01987633977778991,0.06356531788244413,18.92262
-0.0015751480953334063,-0.024795114555562492,-0.04074524355554132,0.07567445411933346,18.28799
0.008993829364222161,0.0031870542222112164,0.09637628555556255,-0.26462871873622223,19.08089
0.003525378615999969,-0.004150089333332829,0.010652296888896018,0.17870606822000057,19.07413
0.007594938595111117,0.14337004919999785,0.3152848216222166,0.4220655414462229,18.91018
-0.006007488976444431,-0.017029182222216832,-0.07067985355556594,-0.021228785238889103,18.33782
0.00640647320155556,0.27254364488888605,0.1639340544444341,-0.24214540876466656,17.42095
-0.003306024553778014,-0.10997617188888498,-0.018029936999999663,0.09349836831311109,19.00241
-0.0015049540844444265,-0.0910084358888934,-0.09055424199999607,-0.1950617934793329,19.03464
0.0013317366371110306,-0.07229824199999157,-0.023416943644436472,0.055629915666222225,18.6147
-0.0003251055131111291,-0.04045545788888916,-0.013290314777789192,0.01628647827355595,18.10832
0.0007449461271111235,-0.09076639444445078,0.0036019948888856845,0.07758335518933346,18.65938
0.0010693553068888695,0.0309850295555556,0.040729244111110674,0.3399235075860001,17.20565
0.00246419514133335,-0.09013709348888455,-0.10287202675555562,-0.11313334521177774,18.94084
-0.0023252605888888084,-0.08361915055555791,-0.024577235555556243,-0.16322405320400024,18.87842
-0.0034668489877777986,-0.380380883888888,-0.07955480815555838,-0.4726828823171107,18.43431
-0.0020780222359999823,-0.11879416966667122,-0.07080940028888705,-0.235292268942223,18.7226
-0.04940144919666628,0.04977315644443969,-0.6785020507777801,0.17642441048288893,20.20202
-0.005184667463777756,0.08008074355555017,-0.11115422066665914,-0.3009470236435548,18.9672
8.881125444440419e-05,-0.06735031644445044,0.0432091562222201,-0.052406087396666995,18.93656
-0.0026515982946666156,-0.04808501599998749,-0.036840146222212766,-0.09699741345622243,17.94704
0.006988062145555602,-0.026079825555557434,0.14550792022221692,-0.26007284630666727,18.25648
0.0008585886573333479,0.029994301888880415,-0.06996424077778052,-0.20321706746755566,19.93544
6.740258511113428e-05,0.15083778588888563,-0.009481182377774289,0.02354605554000022,19.02074
0.00461020919822222,-0.04136692300000355,0.030708715644448326,-0.14389910447333443,19.14962
0.0011317171731111686,0.02550340144445329,-0.0020423257777721915,0.1549037925226667,18.02555
0.003258586518666666,0.08218166111110214,0.06686254442222506,0.20507157393377784,19.58821
-0.002771051088222218,-0.09699510833334202,-0.0818089630444554,-0.3470442156464445,17.88728
0.0014175353277778857,0.06524853322220991,0.01691328477777354,0.07327562416933331,17.87129
4.6446201555624955e-05,0.07651728755555531,-0.04152364677777065,-0.10712168098377772,17.8144
-0.0014839881493332596,0.014799012777775289,-0.0343830626666648,-0.1139951997277778,19.7485
0.0013616161904445867,0.11846572100000508,0.01049085966667107,0.38974813401888914,18.31041
0.001753517553111119,-0.14735705322221904,-0.03684606715556171,0.06977595796488845,17.23112
-0.0016445784804442892,-0.03745179633334139,-0.07547639722221255,-0.010499765190222332,18.01522
0.003987325551111268,0.017560408333338273,0.037260179222229795,0.07826850673266683,17.88193
-0.00442668209977784,-0.018783432422219803,-0.08707163231109938,0.046248524061999974,19.83772
-0.0008253074437777896,0.17119424011110773,-0.010378655622217181,-0.027838923606664068,18.31531
-0.006532254229333373,0.07734074655554579,-0.03814308499999974,-0.17005472189311105,18.54393
-0.0018818065457777908,0.12940589888888887,-0.07029051026664312,0.19426481240222238,18.71341
-0.00157530154888888,-0.06556961677778617,0.07237761288888223,-0.009800780215555194,18.43786
0.0070018592426665735,-0.0838196395555606,0.05413156600000768,-0.08801757086399964,18.55438
0.006418787141777842,-0.04109559055555323,0.10680928322222094,-0.21498293116755549,17.60929
0.004890307390222143,-0.01549581011112977,0.029050397666672723,0.03305427416822207,18.28977
0.0004512368775555359,-0.051524780444447416,0.02612199848888963,-0.23937860399333266,17.26864
0.0020708777826666455,0.10184495433333574,0.08383851800000919,0.09139580490511101,17.71202
0.009067972590444395,0.10326392488889802,0.047018973444457046,-0.06564730304488889,19.35258
-0.0007402576246666667,-0.03986123866667235,-0.021553589444437193,-0.2196486183366667,18.13217
0.003381716122444492,-0.009783616777768955,0.03016985888889323,5.3797990889004055e-05,18.75975
-0.001133908418444407,-0.05055135088887219,-0.014176238555556608,0.010570119515555476,17.88473
-0.003911384374222393,-0.09537285500000792,-0.017224853111116545,0.10358646363888906,19.81396
-0.005532723487555485,-0.007425454555550104,-0.060952041888887365,-0.021257962402666808,18.49846
-0.005250166226222541,-0.01075909400000441,-0.13506187173332407,0.24879379700066673,20.10523
-0.0014408740884443438,-0.06140585366667395,0.04278914022222047,-0.053205858886888724,18.89011
-0.001219180818222157,-0.03335096911111002,-0.047193157222213955,-0.06124361431111092,18.77089
0.0024688904600000325,-0.02154760722222271,0.04460610822221689,-0.003661364847555082,18.36732
0.005582001584666672,-0.1977304485555642,0.16107254999999832,0.10026538916000072,19.56852
-0.007092212114444427,0.06107134188889951,-0.10351417008888752,-0.2512473522577776,19.57785
0.0016968190093333696,-0.06035403144444729,-0.025725842666663112,-0.07433249273911112,17.75694
0.0031621857637777473,0.14994873511111173,-0.011400367222213603,-0.24629555024733318,19.36504
0.0035912967724445743,0.06201990366666443,-0.015974054333346643,0.4130508492735556,18.47371
0.002759728094222133,0.006706365333338127,-0.023543246999992107,-0.07312487097933296,18.24603
0.03995062442577784,0.2387854007777772,0.2863087492222185,0.431096346234889,19.19008
-0.00099846506111112,0.025663423222221482,-0.05901518344444412,0.07306561101111253,18.44018
0.002715962552222534,-0.06673306522222511,-0.12680482482221755,-0.1611195982866669,18.35235
0.0010023173935554547,-0.04165807877777894,0.04326388788889268,-0.19800782801822223,19.578
-0.00036764032022217064,0.11787241599999554,0.05965210388888842,-0.02891159698511081,18.31981
-0.0012902914926665732,0.01959558166666575,0.05586049588887576,0.32507239862444476,17.55807
0.0017591867797777383,0.10517175833333248,0.10911460651111682,0.12293092607999867,19.55242
-0.0049278501313333445,-0.012955038000006525,-0.021900138399997715,0.13430652096333356,18.13158
-0.005981142761111113,0.1847707941111132,-0.10605711733333223,0.33842694419577823,18.36713
0.005094427971111117,0.017663319222219087,0.05551668511111352,-0.10786372246866663,17.19637
-0.0001731305762222024,-0.08542361142222177,0.23274522344444648,-0.1194067695706667,18.86312
-0.0025927631435556375,0.0492227242222274,-0.02041045955555454,-0.09982698180977778,17.55113
-0.005407015485555625,-0.08162102122222414,-0.03967560611109988,0.06329786878933348,18.33832
0.006017409629777787,0.017792432999991448,0.17887618066667343,0.3185998557159997,18.01626
0.000513295572666668,-0.19993743337778724,-0.28087812471112095,0.011928499773111167,17.92409
-0.010971741000666613,-0.053429935000000484,-0.12798941715555756,0.4421762665328891,19.85897
-0.0001072428253333299,-0.09907894466665823,0.005261090666657253,-0.1554030486035568,17.87288
0.00016292904555559318,0.09268570600000281,-0.018354051111110437,-0.2578391880186664,18.46226
-0.005789729569111168,-0.04047428744444481,-0.061526727999995146,-0.20227398304466765,18.72975
-0.0034812836871111197,-0.09250871233334479,-0.035948459777770836,-0.36999915222088914,18.10387
0.005659283195111067,-0.07375376366667119,0.0515418986666738,-0.026531607434888888,18.20092
-0.0090495036691111,-0.009935523666662505,-0.14614953893332938,-0.20959100691355537,18.10207
0.0028198992253333013,0.0822961161111131,-0.0800043752444548,0.24932594627777693,18.49935
-0.00422474848044474,0.17995017211110564,-0.07260477706666357,-0.26025859108044447,19.8266
0.007778079943111145,0.08001960577778178,0.1571391606666701,0.19717855755111113,18.99097
-0.0046088291822223015,-0.08716897877778429,-0.07819309888889947,-0.23943068484933336,18.6591
-0.004771986424444451,0.01315111666667157,-0.11320330899999753,-0.10392169162999959,17.41221
0.003502678315777809,-0.04743793333332569,-0.05197727555555787,0.1541846425375566,19.32185
-0.001955900116666659,-0.23245163133333513,-0.06302848848888942,-0.23812856446155567,18.60704
-0.0035823830717778143,-0.10159283300000332,-0.0894513790666771,-0.30317711509999934,18.88256
0.004587930583777766,-0.006414485555570337,-0.023324756222214305,0.09136950211666683,17.47125
-0.014582213032666713,0.05615282933333887,-0.12369455733333368,0.16054335624244442,18.72126
-0.0012899947415556806,-0.003344812444451506,0.009278674377775076,-0.19375877537266772,18.84941
0.005212064244888889,-0.03470703766666006,0.06855635666665982,0.29426240479933397,18.95364
-0.002394848844444443,-0.09019793822221445,-0.02566867344444823,0.0009095018511109387,18.1476
-0.002235311685111128,-0.16963606344444315,-0.12285721764444624,0.08892580047999932,18.87267
0.005275353047333259,0.034762423666659714,0.04213634000000077,0.03581540828644336,18.24963
7.880509666665508e-05,-0.09806247466666562,0.011325414111118093,-0.15575171180577782,17.37814
-0.0017569441006666936,0.05621589677778793,-0.05415604477776981,-0.002671490089555563,17.66477
-0.008558085200666699,0.029699830888883838,-0.030251663622225422,0.3080091674286666,17.98781
-0.008220708051333098,-0.1003893230000088,-0.10023695177777725,0.11681768555133376,18.44582
0.0017299314937776755,-0.05022493099999892,-0.08882393322222626,-0.19964549975133333,18.50195
-0.0027631065431110574,-0.029093014111110094,-0.07984302377777297,0.38676146602933326,19.00434
0.001349192528666776,-0.10558598388888107,-0.06738526811110823,-0.0001501848277779827,19.18132
0.001567153233111053,0.13453665222222355,-0.00631253804444043,0.08201734878666511,18.85578
0.0015635482693334424,-0.13725590866665272,0.03650937666666643,0.20255043122244454,18.81024
0.0031586486744444447,-0.0011379118888807938,-0.13220831355556584,-0.05949085201177795,15.5987
-0.0010373446604444725,0.021549372666664013,-0.009142453666669326,-0.13336434962733384,17.52311
-0.007475101390888805,-0.0550117303333284,-0.04753747266666508,0.03742062596555565,19.34322
-0.001617386852444433,-0.011382138666666819,-0.08766634677778207,0.22946044934466664,18.2822
-0.003069297462888851,0.057894432555553266,-0.028619757333322227,-0.17920278599111106,17.44789
-0.0032157278104444492,-0.039910873333331764,-0.05881106911111367,-0.05825152894111077,18.59697
-0.0010994561428888522,-0.05975094533332559,-0.028186766888888215,-0.18140894978111044,18.9864
-0.0077205489968887875,-0.03176184708888741,-0.03416736742221005,-0.276472280592,19.52457
0.0005811802219999052,0.023462792111123676,0.08130886368889811,-0.333668415481111,19.94296
-0.00581668987111103,0.07950836888890223,-0.0054689214444607614,-0.10133207279177764,20.01304
-0.004972918465333348,-0.04785020011109964,-0.05924076344443563,-0.17805201170111112,18.50077
-0.0025357415717778276,-0.16427212822222792,-0.054000813777765444,-0.44654854870400007,18.14255
0.0033022304102221997,0.3503444244666767,0.16838775008888618,0.17317239263422235,18.44507
0.0027850896951110427,-0.03464894777777161,-0.017309195555558432,-0.10668430652044464,18.15152
0.004589549674666585,0.056448222800007386,-0.004660850555557872,0.15697203594266673,18.90713
0.00213212965399992,-0.03185811699999341,0.029466319888880932,-0.27562936360844426,18.49865
0.0004935259002222317,-0.09568297233333745,-0.009901548888882061,-0.0526163353779997,17.47948
-0.004159976554444472,-0.018950133555556192,-0.05239967466665796,-0.10200710547111036,18.4262
-0.005058808260666625,0.003993054555541775,-0.06806490633333162,0.20067778977511191,17.73058
0.0019942384115555593,-0.2493124666666624,0.059637707022227815,-0.18567095470666528,18.03588
-0.0008680345480000309,-0.005189631777776427,-0.022716654733322628,0.16392753653511072,18.10453
0.002285117846888878,0.07540067644444726,0.08458820597777006,0.0701690687777794,18.48401
0.0002926814113332621,-0.054324557333318424,-0.0009036386666565477,-0.0950484505100001,18.26857
0.039507781303999984,0.0381634586666717,0.22570076357778213,0.905470280736222,18.21016
-0.05520774163088865,0.028354295333326007,-0.33557787020000873,-0.47492415382911357,18.89214
0.0013982339060000133,0.13422436155554607,0.00020702586667553646,-0.28570508430266617,17.76849
0.004614054963999963,0.045655644111102234,0.14040317146667114,-0.13131662448044423,18.75375
0.000657960436222238,0.16210715013332866,-0.0846415689777853,0.08126716845111015,19.2064
0.0025650404804445776,-0.02756235433333387,0.01002612022222138,-0.24230078870177774,17.7285
-0.0011451159644442765,-0.06045650188890228,-0.11245817366666166,-0.08063919246955498,18.75375
0.00712754619511119,0.2243070468888888,0.12546783455555754,0.1281241859497778,20.10745
0.0014260854482221752,-0.050563280333342675,0.034177070444433966,0.10517979210600023,18.04786
-0.0005443344257777816,-0.1021720297777815,-0.00029062375554467224,-0.07058130158888809,18.54217
0.005025817605555483,0.09735756333332368,0.1379216889777819,0.15593462776666822,19.74715
0.002662289645555503,0.20605605944444427,-0.045452357822233225,-0.04688893501644453,19.25884
-0.0026975029362220904,-0.02842494833332765,-0.011522263222222051,0.23709825738288887,19.81384
-0.004229897548889167,-0.06229215322222181,-0.06631752537778368,0.041924602419333656,19.80399
0.00046310786244463387,0.20436731400000596,-0.1838342458889084,0.578191824916,17.99878
0.005436495566444474,0.15701855744444515,0.18486467688889618,-0.10761150231177863,18.88674
0.014860393840666647,0.32006802144444,-0.02107728631111705,0.007513628295111097,19.95317
-0.001419650538000014,0.047242098888892414,0.01178078877776656,0.15698400923355563,18.29714
-0.06614893660866639,0.01040387435556056,0.25787074957777456,0.009980471503999722,20.19355
-0.0036006919802222606,-0.0759382464444478,-0.10697833671112456,-0.16123431579777825,18.88885
0.0018646929115555128,-0.07617892144445726,0.03628146115556952,0.07654750407933342,18.32877
-0.002882862990222085,0.030571074111108487,-0.07612880166666969,-0.05595707294377805,17.87188
-0.0011501231162222292,0.023692317111105865,0.0528190156666728,0.06615873783466675,18.87165
